,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6388,0.9281,0.6143,0.6481,0.621,0.5908,0.5955,0.042
lightgbm,Light Gradient Boosting Machine,0.6348,0.9296,0.6116,0.6459,0.6198,0.587,0.5907,0.057
xgboost,Extreme Gradient Boosting,0.6328,0.9247,0.6099,0.6428,0.6196,0.5849,0.5883,0.294
gbc,Gradient Boosting Classifier,0.6288,0.9173,0.6059,0.6424,0.6153,0.5809,0.5848,0.294
dt,Decision Tree Classifier,0.6168,0.8256,0.6006,0.6407,0.6106,0.5688,0.5722,0.005
et,Extra Trees Classifier,0.6227,0.8828,0.6038,0.6383,0.6105,0.5736,0.5772,0.051
ridge,Ridge Classifier,0.6209,0.0,0.5966,0.6288,0.598,0.5709,0.5766,0.004
rf,Random Forest Classifier,0.6028,0.9149,0.5831,0.6066,0.5868,0.5506,0.5545,0.054
svm,SVM - Linear Kernel,0.593,0.0,0.5672,0.6173,0.5716,0.5402,0.5475,0.008
ada,Ada Boost Classifier,0.3493,0.7597,0.3398,0.3476,0.3202,0.2644,0.2712,0.023
