,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6317,0.9408,0.6045,0.6364,0.6205,0.5836,0.5869,0.045
ridge,Ridge Classifier,0.6317,0.0,0.6084,0.6334,0.6201,0.5841,0.5874,0.004
xgboost,Extreme Gradient Boosting,0.6253,0.9297,0.6008,0.6345,0.6123,0.5772,0.5816,0.344
lightgbm,Light Gradient Boosting Machine,0.6233,0.9332,0.6013,0.642,0.6108,0.5748,0.5791,0.058
gbc,Gradient Boosting Classifier,0.6169,0.9263,0.5915,0.6289,0.602,0.5674,0.5723,0.295
dt,Decision Tree Classifier,0.6087,0.8187,0.5909,0.627,0.5988,0.5598,0.5643,0.005
et,Extra Trees Classifier,0.6043,0.8877,0.5834,0.6149,0.5942,0.5527,0.5568,0.057
rf,Random Forest Classifier,0.5896,0.9163,0.5621,0.5874,0.5725,0.5352,0.5396,0.057
svm,SVM - Linear Kernel,0.577,0.0,0.5631,0.6137,0.5613,0.5238,0.532,0.008
ada,Ada Boost Classifier,0.3359,0.7198,0.2639,0.2324,0.2347,0.2241,0.2517,0.023
