,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6347,0.9277,0.6126,0.6472,0.6166,0.5874,0.5918,0.062
xgboost,Extreme Gradient Boosting,0.6288,0.9251,0.6106,0.6484,0.6144,0.5813,0.5859,0.306
lr,Logistic Regression,0.6288,0.9296,0.6092,0.6478,0.6128,0.5811,0.5859,0.051
dt,Decision Tree Classifier,0.6108,0.8157,0.5956,0.6364,0.6013,0.562,0.566,0.005
gbc,Gradient Boosting Classifier,0.6087,0.9216,0.5896,0.6187,0.5909,0.5589,0.5636,0.308
ridge,Ridge Classifier,0.6028,0.0,0.5841,0.637,0.5898,0.5512,0.5563,0.004
et,Extra Trees Classifier,0.6009,0.891,0.5822,0.6205,0.5863,0.5494,0.5537,0.051
rf,Random Forest Classifier,0.6028,0.9175,0.5778,0.5998,0.5803,0.55,0.5546,0.059
svm,SVM - Linear Kernel,0.583,0.0,0.5704,0.6261,0.5687,0.5311,0.5386,0.009
ada,Ada Boost Classifier,0.2874,0.5889,0.2085,0.1232,0.1572,0.1492,0.2,0.025
