,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6531,0.9255,0.6244,0.6583,0.6343,0.6078,0.6132,0.259
dt,Decision Tree Classifier,0.634,0.8214,0.6093,0.657,0.6255,0.5875,0.5917,0.005
lightgbm,Light Gradient Boosting Machine,0.6447,0.9305,0.6177,0.6406,0.6248,0.5983,0.6034,0.052
gbc,Gradient Boosting Classifier,0.6362,0.9193,0.6061,0.6362,0.6192,0.5887,0.5927,0.263
et,Extra Trees Classifier,0.6256,0.8843,0.6007,0.6288,0.6128,0.5769,0.5808,0.05
ridge,Ridge Classifier,0.6276,0.0,0.5924,0.6329,0.6126,0.5787,0.5836,0.004
lr,Logistic Regression,0.6321,0.9294,0.5973,0.6284,0.6102,0.5834,0.5901,0.038
rf,Random Forest Classifier,0.6299,0.9144,0.5969,0.619,0.6091,0.5805,0.5849,0.055
svm,SVM - Linear Kernel,0.5874,0.0,0.5616,0.6017,0.5696,0.5348,0.5407,0.008
ada,Ada Boost Classifier,0.328,0.7064,0.252,0.1917,0.2236,0.2156,0.2414,0.021
