,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6593,0.9325,0.6417,0.6808,0.6495,0.6134,0.6176,0.035
ridge,Ridge Classifier,0.636,0.0,0.6179,0.6711,0.6299,0.5881,0.5926,0.004
lightgbm,Light Gradient Boosting Machine,0.6406,0.9251,0.6179,0.6587,0.6275,0.5926,0.5971,0.052
xgboost,Extreme Gradient Boosting,0.6364,0.9261,0.6181,0.6534,0.6253,0.5882,0.5929,0.25
gbc,Gradient Boosting Classifier,0.632,0.9222,0.6117,0.6448,0.6189,0.5833,0.5883,0.252
rf,Random Forest Classifier,0.6278,0.9094,0.6106,0.6388,0.6126,0.5775,0.5823,0.058
et,Extra Trees Classifier,0.6215,0.8811,0.6053,0.6417,0.6098,0.5711,0.5763,0.047
svm,SVM - Linear Kernel,0.6064,0.0,0.5996,0.6482,0.5977,0.5563,0.563,0.008
dt,Decision Tree Classifier,0.598,0.8104,0.5869,0.6278,0.5894,0.5466,0.5513,0.005
ada,Ada Boost Classifier,0.2771,0.6859,0.2062,0.142,0.171,0.1553,0.1773,0.021
