,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6566,0.9197,0.6291,0.6726,0.6405,0.6125,0.6171,0.293
lr,Logistic Regression,0.6449,0.9233,0.6191,0.6551,0.6276,0.5979,0.6027,0.04
gbc,Gradient Boosting Classifier,0.6386,0.9131,0.6123,0.6425,0.619,0.5923,0.5969,0.284
lightgbm,Light Gradient Boosting Machine,0.6366,0.9269,0.6059,0.6383,0.6166,0.5893,0.5942,0.055
ridge,Ridge Classifier,0.6209,0.0,0.5951,0.6214,0.5984,0.5709,0.5764,0.004
rf,Random Forest Classifier,0.6107,0.9084,0.5809,0.6268,0.5944,0.5596,0.5639,0.058
et,Extra Trees Classifier,0.6028,0.8716,0.5743,0.6222,0.588,0.5512,0.5552,0.049
dt,Decision Tree Classifier,0.5888,0.8082,0.5673,0.6126,0.5769,0.5375,0.5419,0.005
svm,SVM - Linear Kernel,0.5909,0.0,0.5747,0.6072,0.5691,0.5396,0.5481,0.008
ada,Ada Boost Classifier,0.3075,0.6813,0.2568,0.2079,0.2151,0.1901,0.2219,0.023
