,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6574,0.9354,0.6302,0.6876,0.6484,0.6121,0.6164,0.035
ridge,Ridge Classifier,0.649,0.0,0.6178,0.6784,0.6392,0.6019,0.6062,0.003
xgboost,Extreme Gradient Boosting,0.6531,0.9213,0.6229,0.6643,0.638,0.6072,0.6116,0.256
lightgbm,Light Gradient Boosting Machine,0.6488,0.9286,0.6161,0.664,0.6358,0.6022,0.6066,0.055
gbc,Gradient Boosting Classifier,0.6466,0.9184,0.6107,0.6642,0.6328,0.5996,0.6042,0.258
dt,Decision Tree Classifier,0.6211,0.8224,0.6033,0.6495,0.6153,0.573,0.5773,0.005
svm,SVM - Linear Kernel,0.626,0.0,0.6079,0.6544,0.6079,0.5773,0.5859,0.008
et,Extra Trees Classifier,0.6129,0.8877,0.5837,0.6403,0.6051,0.561,0.5658,0.05
rf,Random Forest Classifier,0.6066,0.9177,0.5735,0.6214,0.5907,0.5533,0.5586,0.055
ada,Ada Boost Classifier,0.3274,0.704,0.2432,0.1812,0.2142,0.2042,0.2341,0.022
