,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6868,0.9352,0.6493,0.7089,0.675,0.6442,0.6492,0.047
xgboost,Extreme Gradient Boosting,0.6848,0.9311,0.6496,0.6987,0.6741,0.6424,0.6459,0.249
gbc,Gradient Boosting Classifier,0.6785,0.9247,0.6452,0.6964,0.6671,0.6354,0.6396,0.254
et,Extra Trees Classifier,0.6679,0.8995,0.6399,0.6792,0.6506,0.6227,0.6276,0.048
rf,Random Forest Classifier,0.6637,0.9224,0.6306,0.6804,0.6476,0.6171,0.6226,0.054
lr,Logistic Regression,0.6634,0.9396,0.6245,0.6755,0.6459,0.6168,0.6219,0.036
dt,Decision Tree Classifier,0.6445,0.8301,0.6238,0.6596,0.6305,0.5985,0.6031,0.004
ridge,Ridge Classifier,0.6338,0.0,0.5966,0.633,0.6158,0.5836,0.5885,0.004
svm,SVM - Linear Kernel,0.6296,0.0,0.6086,0.6688,0.6132,0.5814,0.5895,0.008
ada,Ada Boost Classifier,0.3466,0.705,0.2691,0.1975,0.234,0.2328,0.259,0.022
