,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6485,0.927,0.6374,0.6721,0.6427,0.6031,0.6069,0.057
gbc,Gradient Boosting Classifier,0.6405,0.9255,0.6334,0.6626,0.6314,0.5943,0.5989,0.295
xgboost,Extreme Gradient Boosting,0.6365,0.9279,0.6276,0.655,0.6293,0.5896,0.5931,0.299
lr,Logistic Regression,0.6247,0.9289,0.6113,0.6473,0.6144,0.5753,0.5807,0.04
dt,Decision Tree Classifier,0.6187,0.8299,0.6107,0.6378,0.6073,0.5702,0.5743,0.004
ridge,Ridge Classifier,0.6167,0.0,0.6032,0.6329,0.6031,0.5661,0.5717,0.004
rf,Random Forest Classifier,0.6166,0.9166,0.6007,0.6331,0.6018,0.5658,0.5711,0.055
et,Extra Trees Classifier,0.6107,0.8913,0.5963,0.6246,0.5959,0.5601,0.5648,0.052
svm,SVM - Linear Kernel,0.6087,0.0,0.6077,0.6138,0.5903,0.5596,0.5667,0.008
ada,Ada Boost Classifier,0.2794,0.6354,0.2088,0.1388,0.1685,0.1479,0.185,0.023
