,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6699,0.9425,0.6521,0.6825,0.6568,0.6269,0.6315,0.054
xgboost,Extreme Gradient Boosting,0.6658,0.9393,0.6493,0.6888,0.6533,0.6225,0.6271,0.255
lr,Logistic Regression,0.6637,0.9402,0.6454,0.6852,0.6517,0.6195,0.625,0.038
gbc,Gradient Boosting Classifier,0.6552,0.9315,0.6379,0.6718,0.6429,0.6107,0.6153,0.254
ridge,Ridge Classifier,0.6299,0.0,0.6191,0.6551,0.6228,0.5818,0.5866,0.004
dt,Decision Tree Classifier,0.6256,0.8328,0.6117,0.6538,0.6199,0.5787,0.5825,0.005
et,Extra Trees Classifier,0.6213,0.8994,0.6086,0.6333,0.6089,0.5722,0.576,0.049
svm,SVM - Linear Kernel,0.6195,0.0,0.6161,0.6755,0.6074,0.573,0.5817,0.008
rf,Random Forest Classifier,0.6235,0.9175,0.6102,0.6302,0.6055,0.574,0.5783,0.055
ada,Ada Boost Classifier,0.3363,0.7381,0.2865,0.2433,0.2571,0.2362,0.2538,0.022
