,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6468,0.9194,0.6155,0.6559,0.6301,0.6005,0.6054,0.042
rf,Random Forest Classifier,0.6307,0.9094,0.6042,0.6346,0.6152,0.5827,0.5866,0.057
xgboost,Extreme Gradient Boosting,0.6288,0.9195,0.6003,0.6348,0.6147,0.5808,0.5845,0.299
gbc,Gradient Boosting Classifier,0.6208,0.9105,0.5942,0.63,0.6052,0.5718,0.5761,0.287
ridge,Ridge Classifier,0.6209,0.0,0.591,0.6262,0.6029,0.5709,0.5758,0.004
et,Extra Trees Classifier,0.6147,0.8738,0.5923,0.6278,0.6016,0.5651,0.5693,0.051
lightgbm,Light Gradient Boosting Machine,0.6128,0.9209,0.587,0.6315,0.5999,0.563,0.5673,0.059
svm,SVM - Linear Kernel,0.5929,0.0,0.5709,0.6036,0.5724,0.5405,0.5472,0.008
dt,Decision Tree Classifier,0.5629,0.7994,0.5438,0.5863,0.5525,0.5087,0.5131,0.005
ada,Ada Boost Classifier,0.3215,0.7357,0.2843,0.2886,0.271,0.2281,0.2418,0.023
