,feature,Extreme Gradient Boosting,Gradient Boosting Classifier,Light Gradient Boosting Machine,mean_imp
0,1,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0
2,3,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,0.0
4,5,0.0,0.0,0.0,0.0
5,6,0.0,0.0,0.0,0.0
6,7,0.0,0.0,0.0,0.0
7,8,0.0,0.0,0.0,0.0
8,9,0.0,0.0,0.0,0.0
9,10,0.0,0.0,0.0,0.0
10,11,0.0,0.0,0.0,0.0
11,12,0.0,0.0,0.0,0.0
12,13,0.0,0.0,0.0,0.0
13,14,0.0,0.0,0.0,0.0
14,15,0.0,0.0,0.0,0.0
15,16,0.0,0.0,0.0,0.0
16,17,0.0,0.0,0.0,0.0
17,18,0.0,0.0,0.0,0.0
18,19,0.0,0.0,0.0,0.0
19,20,0.0,0.0,0.0,0.0
20,21,0.0,0.0,0.0,0.0
21,22,0.0,0.0,0.0,0.0
22,23,0.0,0.0,0.0,0.0
23,24,0.0,0.0,0.0,0.0
24,25,0.0,0.0,0.0,0.0
25,26,0.0,0.0,0.0,0.0
26,27,0.0,0.0,0.0,0.0
27,28,0.0,0.0,0.0,0.0
28,29,0.0,0.0,0.0,0.0
29,30,0.0,0.0,0.0,0.0
30,31,0.0,0.0,0.0,0.0
31,32,0.0,0.0,0.0,0.0
32,33,0.0,0.0,0.0,0.0
33,34,0.0,0.0,0.0,0.0
34,35,0.0,0.0,0.0,0.0
35,36,0.0,0.0,0.0,0.0
36,37,0.0,0.0,0.0,0.0
37,38,0.0,0.0,0.0,0.0
38,39,0.0,0.0,0.0,0.0
39,40,0.0,0.0,0.0,0.0
40,41,0.0,0.0,0.0,0.0
41,42,0.0,0.0,0.0,0.0
42,43,0.0,0.0,0.0,0.0
43,44,0.0,0.0,0.0,0.0
44,45,0.0,0.0,0.0,0.0
45,46,0.0,0.0,0.0,0.0
46,47,0.0,0.0,0.0,0.0
47,48,0.0,0.0,0.0,0.0
48,49,0.0,0.0,0.0,0.0
49,50,0.0,0.0,0.0,0.0
50,51,0.0,0.0,0.0,0.0
51,52,0.0,0.0,0.0,0.0
52,53,0.0,0.0,0.0,0.0
53,54,0.0,0.0,0.0,0.0
54,55,0.0,0.0,0.0,0.0
55,56,0.0,0.0,0.0,0.0
56,57,0.0,0.0,0.0,0.0
57,58,0.0,0.0,0.0,0.0
58,59,0.0,0.0,0.0,0.0
59,60,0.0,0.0,0.0,0.0
60,61,0.0,0.0,0.0,0.0
61,62,0.0,0.0,0.0,0.0
62,63,0.0,0.0,0.0,0.0
63,64,0.0,0.0,0.0,0.0
64,65,0.0,0.0,0.0,0.0
65,66,0.023776755,0.4198298611320621,0.45949074074074076,0.3010324522032344
66,67,0.00026817084,0.002648458530333577,0.006944444444444444,0.003287024605892964
67,68,0.016622223,0.24236564944731936,0.2986111111111111,0.18586632783947524
68,69,0.017907528,0.34463959770505714,0.3194444444444444,0.2273305234520692
69,70,0.028211359,0.4483897585716592,0.4074074074074074,0.29466950830456917
70,71,0.05834921,0.5386173575898096,0.27199074074074076,0.2896524363664961
71,72,0.0,0.0,0.0,0.0
72,73,0.0,0.0,0.0,0.0
73,74,0.0,0.0,0.0,0.0
74,75,0.00026817084,0.002648458530333577,0.006944444444444444,0.003287024605892964
75,76,0.01798795,0.24802125030972844,0.2337962962962963,0.16660183212656465
76,77,0.009758278,0.1802651744435293,0.18055555555555555,0.12352633593176458
77,78,0.018443871,0.34993651476572424,0.3333333333333333,0.2339045731295164
78,79,0.0056740767,0.05258156458021109,0.03009259259259259,0.02944941130168392
79,80,0.0,0.0,0.0,0.0
80,81,0.0005363417,0.005296917060667154,0.013888888888888888,0.006574049211785928
81,82,0.005701802,0.12807990647639006,0.1087962962962963,0.08085933499266024
82,83,0.0,0.0,0.0,0.0
83,84,0.0,0.0,0.0,0.0
84,85,0.0,0.0,0.0,0.0
85,86,0.0,0.0,0.0,0.0
86,87,0.0,0.0,0.0,0.0
87,88,0.0,0.0,0.0,0.0
88,89,0.0,0.0,0.0,0.0
89,90,0.0,0.0,0.0,0.0
90,91,0.0,0.0,0.0,0.0
91,92,0.0,0.0,0.0,0.0
92,93,0.0,0.0,0.0,0.0
93,94,0.0,0.0,0.0,0.0
94,95,0.0181757,0.3472880562353907,0.3263888888888889,0.2306175486012337
95,96,0.009221936,0.17496825738286215,0.16666666666666666,0.1169522865647582
96,97,0.009302356,0.07834990998753344,0.08101851851851852,0.0562235949288128
97,98,0.04038945,0.30804299265663526,0.40162037037037035,0.25001760381043925
98,99,0.03596307,0.334902530493041,0.33912037037037035,0.23666199017032064
99,100,0.009302356,0.07834990998753344,0.08101851851851852,0.0562235949288128
100,101,0.005605272,0.20482028845431235,0.16319444444444445,0.12454000163872538
101,102,0.0,0.0,0.0,0.0
102,103,0.0,0.0,0.0,0.0
103,104,0.0,0.0,0.0,0.0
104,105,0.0,0.0,0.0,0.0
105,106,0.0,0.0,0.0,0.0
106,107,0.0,0.0,0.0,0.0
107,108,0.0,0.0,0.0,0.0
108,109,0.0,0.0,0.0,0.0
109,110,0.0,0.0,0.0,0.0
110,111,0.008781158,0.266922327212144,0.23726851851851852,0.1709906680319906
111,112,0.033718146,0.3792601117962295,0.3275462962962963,0.24684151815876273
112,113,0.02387143,0.4692766814549333,0.40046296296296297,0.29787035789414723
113,114,0.009490106,0.17761671591319572,0.1736111111111111,0.12023931109304097
114,115,0.012068971,0.11047434765556606,0.09027777777777778,0.07094036549785342
115,116,0.002536191,0.09633079519724667,0.10300925925925926,0.06729208178768183
116,117,0.009221936,0.17496825738286215,0.16666666666666666,0.1169522865647582
117,118,0.0005363417,0.005296917060667154,0.013888888888888888,0.006574049211785928
118,119,0.011676738,0.1975452144732307,0.17824074074074073,0.12915423108421017
119,120,0.008790183,0.12530347053223076,0.3738425925925926,0.1693120820019602
120,121,0.017907528,0.34463959770505714,0.3194444444444444,0.2273305234520692
121,122,0.009490106,0.17761671591319572,0.1736111111111111,0.12023931109304097
122,123,0.030973036,1.0,0.9224537037037037,0.6511422465152946
123,124,0.008676618,0.25521981040039016,0.3425925925925926,0.20216300711020466
124,125,0.00026817084,0.002648458530333577,0.006944444444444444,0.003287024605892964
125,126,0.018749932,0.36051434613098193,0.3923611111111111,0.2572084630230935
126,127,0.28887212,0.291116427155514,0.02199074074074074,0.20065976355361403
127,128,0.020833258,0.40991243884188877,0.40625,0.27899856547588425
128,129,0.0,0.0,0.0,0.0
129,130,0.03626854,0.3278380773205945,0.23726851851851852,0.20045837852194906
130,131,0.019811632,0.35153403375171866,0.3368055555555556,0.23605040713964762
131,132,0.0,0.0,0.0,0.0
132,133,0.0,0.0,0.0,0.0
133,134,0.008953764,0.17231979885252857,0.1597222222222222,0.1136652617260346
134,135,0.00026817084,0.002648458530333577,0.006944444444444444,0.003287024605892964
135,136,0.0258034,0.3786592287228778,0.44560185185185186,0.2833548269261051
136,137,0.0008045125,0.00794537559100073,0.020833333333333332,0.009861073817678893
137,138,0.00026817084,0.002648458530333577,0.006944444444444444,0.003287024605892964
138,139,0.0100401025,0.15578696061999844,0.34953703703703703,0.171788033394527
139,140,0.007262896,0.13269990575200405,0.5856481481481481,0.2418703165717422
140,141,0.018712042,0.35258497329605787,0.3402777777777778,0.23719159765779918
141,142,0.0,0.0,0.0,0.0
142,143,0.0,0.0,0.0,0.0
143,144,0.0005363417,0.005296917060667154,0.013888888888888888,0.006574049211785928
144,145,0.0,0.0,0.0,0.0
145,146,0.00026817084,0.002648458530333577,0.006944444444444444,0.003287024605892964
146,147,0.009221936,0.17496825738286215,0.16666666666666666,0.1169522865647582
147,148,0.00026817084,0.002648458530333577,0.006944444444444444,0.003287024605892964
