,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6637,0.9377,0.6429,0.6836,0.6527,0.6196,0.625,0.038
ridge,Ridge Classifier,0.6425,0.0,0.6183,0.6578,0.6295,0.5957,0.6007,0.004
lightgbm,Light Gradient Boosting Machine,0.6403,0.9293,0.617,0.6519,0.6263,0.5932,0.598,0.052
xgboost,Extreme Gradient Boosting,0.6256,0.9291,0.6066,0.6357,0.6094,0.5768,0.5822,0.257
svm,SVM - Linear Kernel,0.6173,0.0,0.5991,0.6483,0.5953,0.5676,0.5782,0.008
gbc,Gradient Boosting Classifier,0.6023,0.9219,0.5798,0.6149,0.589,0.5511,0.556,0.263
et,Extra Trees Classifier,0.5937,0.8887,0.5779,0.6035,0.5799,0.5405,0.5463,0.049
dt,Decision Tree Classifier,0.5832,0.8019,0.5772,0.6024,0.577,0.5313,0.5349,0.005
rf,Random Forest Classifier,0.5789,0.9118,0.5619,0.5839,0.5626,0.5239,0.5297,0.056
ada,Ada Boost Classifier,0.2979,0.6808,0.2364,0.1948,0.2112,0.1858,0.2038,0.022
