,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.6348,0.9245,0.6117,0.6475,0.6215,0.5881,0.5927,0.281
lightgbm,Light Gradient Boosting Machine,0.6308,0.9344,0.6114,0.6468,0.6155,0.5838,0.5883,0.057
lr,Logistic Regression,0.6309,0.9317,0.6087,0.64,0.615,0.5829,0.5877,0.039
xgboost,Extreme Gradient Boosting,0.6248,0.9301,0.604,0.6396,0.6128,0.5771,0.5807,0.287
dt,Decision Tree Classifier,0.6028,0.8152,0.5943,0.6337,0.5942,0.5535,0.5575,0.005
et,Extra Trees Classifier,0.6007,0.8764,0.5904,0.6168,0.5882,0.5501,0.5541,0.051
ridge,Ridge Classifier,0.603,0.0,0.5876,0.6089,0.5851,0.5517,0.5568,0.004
rf,Random Forest Classifier,0.6027,0.919,0.5908,0.6139,0.5829,0.551,0.5564,0.065
svm,SVM - Linear Kernel,0.593,0.0,0.5747,0.6155,0.5712,0.5409,0.5487,0.008
ada,Ada Boost Classifier,0.2735,0.647,0.2145,0.1432,0.1694,0.1513,0.1778,0.023
