,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.6655,0.9224,0.6511,0.6776,0.6528,0.6224,0.627,0.259
xgboost,Extreme Gradient Boosting,0.6613,0.9239,0.6538,0.665,0.6472,0.6179,0.6221,0.255
lightgbm,Light Gradient Boosting Machine,0.6528,0.9287,0.6448,0.6541,0.637,0.6081,0.6125,0.052
lr,Logistic Regression,0.6423,0.9275,0.6299,0.65,0.6278,0.5956,0.6006,0.034
ridge,Ridge Classifier,0.6402,0.0,0.6306,0.642,0.6238,0.5935,0.5982,0.004
et,Extra Trees Classifier,0.6316,0.8852,0.6286,0.6496,0.6226,0.585,0.5894,0.049
dt,Decision Tree Classifier,0.6232,0.8244,0.6169,0.6352,0.6108,0.5757,0.5801,0.005
svm,SVM - Linear Kernel,0.6021,0.0,0.6059,0.6594,0.598,0.553,0.5589,0.007
rf,Random Forest Classifier,0.604,0.9091,0.5921,0.6074,0.5848,0.5524,0.5576,0.054
ada,Ada Boost Classifier,0.357,0.7481,0.3034,0.265,0.2681,0.2571,0.2783,0.022
