,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6724,0.9321,0.6484,0.6843,0.6594,0.6295,0.6343,0.052
xgboost,Extreme Gradient Boosting,0.6576,0.9346,0.6358,0.6635,0.6485,0.6134,0.6166,0.243
lr,Logistic Regression,0.6554,0.9337,0.6327,0.6731,0.6418,0.6093,0.6143,0.036
gbc,Gradient Boosting Classifier,0.6471,0.9278,0.6186,0.6566,0.6366,0.6011,0.6044,0.269
dt,Decision Tree Classifier,0.6428,0.8342,0.6232,0.6594,0.631,0.5973,0.602,0.004
ridge,Ridge Classifier,0.634,0.0,0.6101,0.6491,0.6235,0.5852,0.5897,0.004
rf,Random Forest Classifier,0.6365,0.9189,0.6193,0.6463,0.6211,0.5885,0.5939,0.055
et,Extra Trees Classifier,0.6343,0.9016,0.6114,0.6391,0.6192,0.586,0.5901,0.049
svm,SVM - Linear Kernel,0.5895,0.0,0.5725,0.6223,0.5756,0.5363,0.5423,0.008
ada,Ada Boost Classifier,0.2895,0.6917,0.2191,0.1461,0.1805,0.1705,0.1943,0.022
