,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6765,0.938,0.6506,0.6852,0.666,0.6333,0.6365,0.053
xgboost,Extreme Gradient Boosting,0.6595,0.9311,0.6314,0.6733,0.649,0.614,0.6173,0.259
lr,Logistic Regression,0.6554,0.9358,0.6281,0.6823,0.6472,0.6093,0.6139,0.037
gbc,Gradient Boosting Classifier,0.6512,0.9274,0.6224,0.6588,0.6385,0.6051,0.6087,0.265
ridge,Ridge Classifier,0.6447,0.0,0.6193,0.6716,0.6333,0.5963,0.6017,0.004
et,Extra Trees Classifier,0.6425,0.9055,0.6264,0.6659,0.6317,0.5952,0.6003,0.05
rf,Random Forest Classifier,0.6383,0.9228,0.6162,0.6464,0.6219,0.5896,0.5942,0.057
dt,Decision Tree Classifier,0.6323,0.8265,0.6161,0.6536,0.6208,0.5845,0.5895,0.005
svm,SVM - Linear Kernel,0.6278,0.0,0.6215,0.6764,0.6104,0.5803,0.589,0.008
ada,Ada Boost Classifier,0.2854,0.6957,0.2168,0.1548,0.1856,0.1658,0.1863,0.023
