feature,gbc,xgb,lg,mean
1,0.02565782936230834,0.08389214426279068,0.11132142100310449,0.07362379820940117
2,0.6748823737903407,0.6008166074752808,0.11055854677338493,0.4620858426796688
3,1.0,0.8918296694755554,0.09396226954854661,0.6619306463413673
4,0.33508802069037874,0.3206969201564789,0.11484413348128263,0.2568763581093801
5,0.003363267450289794,0.006295005790889263,0.07089745409474016,0.026851909111973073
6,0.27260969743364927,0.22644373774528503,0.08074697998081753,0.19326680505325058
7,0.4009430789065471,0.3808521330356598,0.09025371479234189,0.29068297557818296
8,0.2693123385388989,0.23676782846450806,0.07644091370604365,0.19417369356981687
9,0.07388168351158458,0.013945349492132664,0.09149511100580704,0.05977404800317476
10,0.0009032418353640494,0.07946288585662842,0.0958966847684504,0.05875427082014762
11,0.39736148629467555,0.4597642123699188,0.12358183013772474,0.326902509600773
12,1.0,0.8918296694755554,0.09396226954854661,0.6619306463413673
13,0.25716436886484795,0.3609069585800171,0.08192551873181918,0.23333228205889475
14,0.363479596578199,0.3019249737262726,0.09704129075506074,0.2541486203531774
15,0.19949306413439516,0.18560704588890076,0.08611469064627246,0.15707160022318947
16,0.01655710622301244,0.0,0.10566649171082858,0.04074119931128034
17,0.03544291974815318,0.03344991058111191,0.09603570922522117,0.05497617985149542
18,0.6912938945038617,0.5992015600204468,0.09313988336763342,0.4612117792973139
19,0.2514887138649688,0.29938384890556335,0.10616734316402467,0.2190133019781856
20,0.02009836595153504,0.018543072044849396,0.07722908814336554,0.038623508713249995
21,0.7120740270035241,0.706589937210083,0.1320778482425136,0.5169139374853736
22,0.5082785531115062,0.4459148347377777,0.0998143806296876,0.3513359228263238
23,1.0,0.8918296694755554,0.09396226954854661,0.6619306463413673
24,0.0,0.0,0.0,0.0
25,0.34099163625162693,0.30303341150283813,0.0952852286628587,0.24643675880577462
26,0.6721857020743375,0.5945531129837036,0.09786367693597393,0.4548674973313384
27,0.6721857020743375,0.5945531129837036,0.09786367693597393,0.4548674973313384
28,0.01655710622301244,0.0,0.10566649171082858,0.04074119931128034
29,0.07388168351158458,0.013945349492132664,0.09149511100580704,0.05977404800317476
30,0.0,0.019213659688830376,0.12224656323595566,0.04715340764159535
31,0.5082785531115062,0.4459148347377777,0.0998143806296876,0.3513359228263238
32,0.33939864412256254,0.2972765564918518,0.08717227546964826,0.24128249202802085
