,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6427,0.9234,0.6167,0.6482,0.6246,0.5973,0.6027,0.295
gbc,Gradient Boosting Classifier,0.6307,0.9142,0.6048,0.6526,0.6197,0.584,0.5886,0.29
lightgbm,Light Gradient Boosting Machine,0.6307,0.9248,0.6081,0.6446,0.6153,0.584,0.589,0.053
dt,Decision Tree Classifier,0.6169,0.821,0.605,0.6401,0.6096,0.5697,0.5736,0.005
lr,Logistic Regression,0.6207,0.9253,0.5957,0.6423,0.6063,0.5723,0.5784,0.043
et,Extra Trees Classifier,0.6088,0.8819,0.588,0.6199,0.5925,0.5587,0.5635,0.062
svm,SVM - Linear Kernel,0.6048,0.0,0.5797,0.6348,0.5907,0.5547,0.5611,0.008
rf,Random Forest Classifier,0.5967,0.9102,0.5724,0.5984,0.5767,0.5444,0.5495,0.069
ridge,Ridge Classifier,0.5868,0.0,0.5636,0.6061,0.5731,0.5339,0.5396,0.004
ada,Ada Boost Classifier,0.2913,0.6224,0.2258,0.1548,0.1762,0.1678,0.2058,0.023
