,Species,Opsin_Family,Accession,Lambda_Max,Prediction,Difference
S77,Anolis_carolinensis,Rh2,NM_001291394.1,496.0,494.638554626187,-1.3614453738130123
S155,Rattus_norvegicus,MWS,AH006946.2,509.0,519.7439183795422,10.743918379542151
S247,AncAgnatha_sp.,Rh2,AncAgnatha,503.0,488.10734091723197,-14.892659082768034
S273,Chrysochroa_rajah,inv-UVS,OP722930.1,431.0,448.4618821811895,17.46188218118948
S271,Callosobruchus_maculatus,IV-UVS,OP722929.1,363.0,424.0845746153524,61.08457461535238
S78,Danio_rerio,Rh2,AB087805.2,467.0,467.9794576772061,0.979457677206085
S91,Gekko_gecko,SWS1,AY024356.1,360.0,356.4129130318063,-3.5870869681937165
S304,Ochotona_princeps,SWS1,XM_004592516,431.0,420.06177564149385,-10.938224358506147
S119,Ambystoma_tigrinum,Rh1,U36574,506.0,499.3705375897885,-6.629462410211488
S255,AncEutelo3_sp.,Rh2,AncEutelo3,474.0,477.72645157067535,3.7264515706753514
S81,Danio_rerio,Rh2,AB087808.2,505.0,504.33910366717026,-0.6608963328297364
S86,Carassius_auratus,SWS1,D85863.1,359.0,358.47688154208265,-0.5231184579173487
S270,Loxodonta_africana,LWS,AY686754.1,552.0,527.5414078543271,-24.458592145672924
S303,Physeter_catodon,Rh1,XM_007126220,482.0,481.06253385877983,-0.9374661412201704
S203,Grus_americana,SWS2,KM508491,450.0,449.0620043467442,-0.9379956532558253
S31,Perissodus_elaviae,Rh1,AB185230.1,490.0,497.58935999718875,7.589359997188751
S176,Poecilia_reticulata,SWS2-A,LC127188,438.0,432.3234659710821,-5.676534028917899
S195,Platynereis_dumerilii,LWS,AY692353.1,383.0,467.47641621552776,84.47641621552776
S121,Taeniopygia_guttata,Rh1,AF222329,502.0,501.04732675891734,-0.9526732410826639
S52,Rod_ancestor_pigmente,Rh1,pigmente,482.0,501.3164539610301,19.316453961030106
S59,Conger_myriaster,Rh1,AB043817.1,486.0,488.7796621468728,2.779662146872795
S206,Otolemur_crassicaudatus,LWS,AB112590.1,539.0,514.8421254852866,-24.1578745147134
S158,Equus_caballus,LWS,AF132043,545.0,536.2333379259572,-8.766662074042756
S150,Homo_sapiens,LWS,AH005296.2,530.0,521.8017556689086,-8.19824433109136
S218,Oryzias_luzonensis,Rh2,LC260049,517.0,513.2174665161887,-3.782533483811335
S84,Carassius_auratus,LWS,L11867.1,562.8,533.6096445656198,-29.190355434380194
S189,Anolis_carolinensis,SWS1,AH007736,360.0,357.9201361041902,-2.079863895809808
S34,Trematocara_unimaculatum,Rh1,AB185238.1,484.0,500.5628156974177,16.562815697417705
S43,Xenotilapia_papilio,Rh1,AB457996.1,497.0,495.4099218534581,-1.5900781465418845
S110,Papilio_xuthus,Rh1,AB007423.1,540.0,541.8276859179725,1.8276859179725307
S162,Anolis_carolinensis,MWS,AH007737.2,482.0,478.99345501952473,-3.006544980475269
S144,Gallus_gallus,SWS2,M92037,455.0,477.7392745544324,22.739274554432427
S202,Grus_americana,SWS1,KM508490,404.0,383.7927111871695,-20.207288812830484
S109,Papilio_xuthus,Rh3,AB007425.1,571.0,550.8446359131353,-20.155364086864665
S290,lwsanc_pigmenty_sp.,LWS,lwsanc_pigmenty,553.0,551.359101152367,-1.640898847633025
S186,Columba_livia,SWS1,AJ238856,388.0,393.14264983325836,5.142649833258361
S190,Phreatichthys_andruzzii,Rh1,JQ413240,508.0,498.92455912442705,-9.075440875572951
S89,Ambystoma_tigrinum,SWS1,AF038948.1,356.0,385.27180251642744,29.271802516427442
S175,Poecilia_reticulata,RH2-2,LC127187,476.0,451.9976752385492,-24.00232476145078
S68,Anolis_carolinensis,Rh1,L31503,491.0,487.1098181159398,-3.890181884060212
S249,AncTeleost_sp.,Rh2,AncTeleost,491.0,497.03822009662434,6.038220096624343
S98,Rattus_norvegicus,SWS1,U63972.1,358.0,378.8757877542157,20.875787754215708
S145,Carassius_auratus,LWS,L11867,559.0,533.6096445656198,-25.39035543438024
S22,Gnathochromis_permaxillaris,Rh1,AB084932.1,497.0,489.34661231140353,-7.653387688596467
S200,Grus_americana,Rh1,KM508488,500.0,504.8997800490413,4.899780049041283
S228,Oryzias_minutillus,Rh2,LC260059,493.0,487.80743639084363,-5.192563609156366
S312,Saimiri_sciureus,LWS,AH006282,545.0,546.7545171807358,1.7545171807357747
S139,Rattus_norvegicus,SWS1,U63972.1,358.0,378.8757877542157,20.875787754215708
S149,Gallus_gallus,LWS,M62903.1,571.0,560.8697596150184,-10.130240384981562
S50,Rod_ancestor_pigmentc,Rh1,pigmentc,501.0,507.6936008750683,6.6936008750682845
