,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6727,0.93,0.6424,0.6852,0.6589,0.6284,0.6331,0.255
lr,Logistic Regression,0.6686,0.9364,0.6408,0.6927,0.6539,0.6233,0.6291,0.037
lightgbm,Light Gradient Boosting Machine,0.6622,0.9319,0.6399,0.6864,0.6491,0.617,0.6218,0.05
dt,Decision Tree Classifier,0.645,0.8284,0.6311,0.6866,0.6409,0.5994,0.6042,0.005
gbc,Gradient Boosting Classifier,0.6473,0.9206,0.6182,0.6611,0.6324,0.5996,0.6044,0.257
ridge,Ridge Classifier,0.6388,0.0,0.6138,0.674,0.6295,0.5899,0.5958,0.004
et,Extra Trees Classifier,0.6323,0.8874,0.615,0.6634,0.6229,0.584,0.5892,0.05
rf,Random Forest Classifier,0.6367,0.9212,0.6114,0.6559,0.6212,0.5876,0.5922,0.057
svm,SVM - Linear Kernel,0.6242,0.0,0.6043,0.6537,0.6055,0.5736,0.5814,0.007
ada,Ada Boost Classifier,0.3469,0.7286,0.2804,0.2323,0.2547,0.2389,0.2611,0.023
