	Opsin_Class
Bovine	10
S1	11
S2	11
S3	6
S4	9
S5	9
S6	8
S7	7
S8	8
S9	8
S10	10
S11	9
S12	10
S13	9
S14	10
S15	8
S16	11
S17	7
S18	7
S19	10
S20	11
S21	10
S22	9
S23	7
S24	11
S25	12
S26	9
S27	10
S28	10
S29	12
S30	10
S31	8
S32	10
S33	11
S34	7
S35	7
S36	11
S37	7
S38	8
S39	11
S40	10
S41	12
S42	10
S43	10
S44	10
S45	8
S46	8
S47	6
S48	9
S49	9
S50	9
S51	10
S52	9
S53	9
S54	9
S55	8
S56	10
S57	9
S58	10
S59	10
S60	9
S61	10
S62	10
S63	8
S64	9
S65	9
S66	9
S67	8
S68	8
S69	10
S70	10
S71	8
S72	10
S73	11
S74	11
S75	9
S76	11
S77	11
S78	11
S79	11
S80	6
S81	11
S82	11
S83	11
S84	9
S85	7
S86	7
S87	7
S88	7
S89	9
S90	7
S91	13
S92	8
S93	8
S94	12
S95	7
S96	8
S97	6
S98	12
S99	8
S100	11
S101	8
S102	10
S103	6
S104	7
S105	7
S106	6
S107	6
S108	9
S109	13
S110	11
S111	12
S112	7
S113	12
S114	8
S115	8
S116	6
S117	12
S118	11
S119	7
S120	7
S121	11
S122	7
S123	9
S124	8
S125	8
S126	8
S127	11
S128	12
S129	9
S130	10
S131	10
S132	9
S133	11
S134	8
S135	11
S136	7
S137	10
S138	8
S139	13
S140	14
S141	8
S142	11
S143	7
S144	8
S145	8
S146	11
S147	10
S148	9
S149	8
S150	11
S151	6
S152	9
S153	7
S154	7
S155	6
S156	6
S157	8
S158	6
S159	9
S160	9
S161	8
S162	9
S163	7
S164	6
S165	9
S166	13
S167	12
S168	6
S169	6
S170	5
S171	5
S172	6
S173	9
S174	8
S175	6
S176	8
S177	9
S178	9
S179	8
S180	6
S181	8
S182	6
S183	6
S184	7
S185	12
S186	6
S187	6
S188	5
S189	6
S190	6
S191	6
S192	6
S193	6
S194	6
S195	6
S196	6
S197	14
S198	11
S199	14
S200	14
S201	14
S202	5
S203	5
S204	5
S205	6
S206	5
S207	10
S208	10
S209	9
S210	10
S211	12
S212	10
