,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6299,0.9248,0.609,0.6209,0.611,0.581,0.5852,0.247
lr,Logistic Regression,0.6364,0.9257,0.6106,0.6317,0.6103,0.5878,0.5946,0.036
ridge,Ridge Classifier,0.6323,0.0,0.6046,0.6269,0.6074,0.583,0.5889,0.004
gbc,Gradient Boosting Classifier,0.6236,0.9232,0.5971,0.6211,0.6037,0.5742,0.5794,0.253
lightgbm,Light Gradient Boosting Machine,0.6214,0.9274,0.599,0.624,0.6032,0.5716,0.5761,0.052
dt,Decision Tree Classifier,0.6066,0.8228,0.5846,0.6259,0.595,0.5552,0.5595,0.005
svm,SVM - Linear Kernel,0.6195,0.0,0.5987,0.6263,0.5895,0.5688,0.5778,0.008
et,Extra Trees Classifier,0.6044,0.8881,0.5879,0.5995,0.5849,0.5527,0.5574,0.056
rf,Random Forest Classifier,0.6066,0.9171,0.5864,0.5879,0.5827,0.5546,0.5592,0.055
ada,Ada Boost Classifier,0.2684,0.6836,0.214,0.1773,0.1913,0.1556,0.1699,0.024
