,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6808,0.9329,0.6513,0.6885,0.6698,0.6384,0.6419,0.053
xgboost,Extreme Gradient Boosting,0.6764,0.9272,0.6449,0.6882,0.6665,0.6336,0.6368,0.254
lr,Logistic Regression,0.6638,0.9353,0.6332,0.6718,0.6536,0.6182,0.6222,0.037
ridge,Ridge Classifier,0.6637,0.0,0.6359,0.6806,0.6535,0.6182,0.623,0.004
gbc,Gradient Boosting Classifier,0.6572,0.9191,0.6259,0.6695,0.6463,0.6117,0.6152,0.273
rf,Random Forest Classifier,0.6573,0.9217,0.6263,0.6631,0.6445,0.6107,0.6148,0.054
svm,SVM - Linear Kernel,0.6511,0.0,0.6297,0.6736,0.6374,0.605,0.6119,0.008
dt,Decision Tree Classifier,0.6384,0.8436,0.6175,0.6594,0.633,0.5925,0.5962,0.005
et,Extra Trees Classifier,0.6383,0.9004,0.6118,0.6515,0.6291,0.5902,0.594,0.051
ada,Ada Boost Classifier,0.3234,0.7185,0.235,0.1871,0.2094,0.2028,0.2293,0.022
