,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.6446,0.9241,0.6253,0.658,0.6344,0.599,0.6034,0.278
dt,Decision Tree Classifier,0.6385,0.8336,0.6267,0.6628,0.6279,0.5934,0.5977,0.005
et,Extra Trees Classifier,0.6404,0.8944,0.6216,0.6528,0.6267,0.5931,0.5983,0.053
lr,Logistic Regression,0.6341,0.9381,0.6094,0.6516,0.6221,0.5859,0.5905,0.044
xgboost,Extreme Gradient Boosting,0.632,0.927,0.6137,0.6477,0.622,0.5844,0.5886,0.343
lightgbm,Light Gradient Boosting Machine,0.6361,0.9275,0.6153,0.647,0.6215,0.5891,0.5938,0.052
ridge,Ridge Classifier,0.6234,0.0,0.601,0.6334,0.6069,0.5742,0.5793,0.004
rf,Random Forest Classifier,0.6152,0.9231,0.5923,0.6123,0.5957,0.5639,0.569,0.054
svm,SVM - Linear Kernel,0.5959,0.0,0.5814,0.6188,0.5792,0.5444,0.5519,0.008
ada,Ada Boost Classifier,0.2982,0.703,0.2326,0.1645,0.1968,0.1858,0.2078,0.024
