,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6786,0.9343,0.669,0.7068,0.6713,0.6379,0.6424,0.056
xgboost,Extreme Gradient Boosting,0.6701,0.9267,0.6554,0.6913,0.6614,0.6276,0.6317,0.287
gbc,Gradient Boosting Classifier,0.6679,0.9303,0.6551,0.689,0.659,0.6253,0.6302,0.282
lr,Logistic Regression,0.6659,0.9403,0.6499,0.6724,0.6528,0.6225,0.6266,0.041
ridge,Ridge Classifier,0.6531,0.0,0.6371,0.6688,0.6424,0.6083,0.6124,0.004
dt,Decision Tree Classifier,0.6363,0.8219,0.6259,0.6612,0.6301,0.5907,0.5947,0.005
et,Extra Trees Classifier,0.6383,0.8839,0.6303,0.6486,0.6275,0.5919,0.5958,0.056
rf,Random Forest Classifier,0.632,0.9101,0.6192,0.644,0.6198,0.5838,0.588,0.057
svm,SVM - Linear Kernel,0.6217,0.0,0.6123,0.6764,0.6093,0.5743,0.5827,0.008
ada,Ada Boost Classifier,0.3488,0.7346,0.2892,0.237,0.2556,0.2461,0.2686,0.023
