,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6626,0.9282,0.6319,0.6817,0.65,0.6182,0.6227,0.29
lightgbm,Light Gradient Boosting Machine,0.6426,0.9308,0.6101,0.6534,0.6274,0.5949,0.6,0.058
gbc,Gradient Boosting Classifier,0.6367,0.9216,0.6087,0.643,0.6201,0.5891,0.5936,0.291
lr,Logistic Regression,0.6268,0.9345,0.5872,0.6419,0.6111,0.5767,0.5824,0.043
rf,Random Forest Classifier,0.6247,0.9178,0.5932,0.6433,0.6079,0.5741,0.5795,0.06
et,Extra Trees Classifier,0.6187,0.8753,0.5874,0.6363,0.6054,0.5679,0.5726,0.051
svm,SVM - Linear Kernel,0.6145,0.0,0.5848,0.63,0.596,0.5639,0.5704,0.008
ridge,Ridge Classifier,0.6029,0.0,0.5676,0.6167,0.5856,0.5498,0.555,0.004
dt,Decision Tree Classifier,0.5807,0.8047,0.5559,0.588,0.5643,0.5254,0.5292,0.005
ada,Ada Boost Classifier,0.3513,0.759,0.3166,0.3378,0.3136,0.2606,0.2701,0.022
