,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6546,0.9312,0.618,0.6718,0.6378,0.6069,0.6128,0.042
gbc,Gradient Boosting Classifier,0.6464,0.9203,0.6098,0.6482,0.631,0.5995,0.6035,0.304
xgboost,Extreme Gradient Boosting,0.6445,0.9275,0.608,0.6627,0.6302,0.5972,0.6019,0.324
lightgbm,Light Gradient Boosting Machine,0.6425,0.9254,0.6046,0.657,0.6292,0.5946,0.5994,0.072
ridge,Ridge Classifier,0.6446,0.0,0.6142,0.6604,0.6282,0.5963,0.6012,0.004
svm,SVM - Linear Kernel,0.6328,0.0,0.61,0.6423,0.6168,0.5847,0.5896,0.009
et,Extra Trees Classifier,0.6146,0.8749,0.5849,0.6361,0.6022,0.5636,0.5684,0.053
rf,Random Forest Classifier,0.6187,0.9139,0.5838,0.6252,0.5962,0.5659,0.5725,0.056
dt,Decision Tree Classifier,0.6087,0.8099,0.5832,0.6196,0.5958,0.5578,0.5615,0.005
ada,Ada Boost Classifier,0.2955,0.6083,0.2147,0.1485,0.1769,0.1534,0.2025,0.024
