,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.6606,0.921,0.631,0.6735,0.6425,0.6155,0.6202,0.292
lr,Logistic Regression,0.6567,0.9336,0.6348,0.6707,0.6409,0.6111,0.6156,0.045
lightgbm,Light Gradient Boosting Machine,0.6587,0.9334,0.6278,0.6667,0.6387,0.6131,0.6178,0.06
ridge,Ridge Classifier,0.6447,0.0,0.6172,0.6589,0.6319,0.5975,0.6023,0.004
svm,SVM - Linear Kernel,0.6407,0.0,0.6207,0.6738,0.6305,0.5938,0.5997,0.009
xgboost,Extreme Gradient Boosting,0.6427,0.9287,0.6108,0.6513,0.6254,0.5951,0.5996,0.291
dt,Decision Tree Classifier,0.6287,0.8334,0.602,0.6402,0.6131,0.5797,0.5846,0.005
et,Extra Trees Classifier,0.6147,0.8961,0.5853,0.6197,0.5981,0.563,0.5672,0.058
rf,Random Forest Classifier,0.6127,0.9217,0.5787,0.6088,0.5902,0.5598,0.5649,0.054
ada,Ada Boost Classifier,0.3493,0.725,0.2928,0.2767,0.283,0.248,0.2643,0.023
