,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6407,0.9279,0.6204,0.6573,0.6327,0.5951,0.599,0.058
xgboost,Extreme Gradient Boosting,0.6307,0.9298,0.6096,0.6519,0.6222,0.584,0.5883,0.29
et,Extra Trees Classifier,0.6287,0.8897,0.613,0.654,0.6201,0.5817,0.5872,0.053
gbc,Gradient Boosting Classifier,0.6268,0.9225,0.6097,0.6406,0.6157,0.5799,0.5842,0.286
dt,Decision Tree Classifier,0.6208,0.8226,0.6082,0.65,0.615,0.5737,0.5777,0.005
lr,Logistic Regression,0.6188,0.927,0.5961,0.6384,0.6042,0.57,0.5759,0.04
ridge,Ridge Classifier,0.6109,0.0,0.5906,0.6253,0.6001,0.5611,0.5656,0.004
rf,Random Forest Classifier,0.6047,0.9158,0.5836,0.6241,0.5883,0.5536,0.5596,0.056
svm,SVM - Linear Kernel,0.5788,0.0,0.5722,0.6416,0.5692,0.5283,0.5371,0.008
ada,Ada Boost Classifier,0.2815,0.6024,0.2122,0.136,0.1646,0.1482,0.1969,0.028
