,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
ridge,Ridge Classifier,0.6785,0.0,0.6617,0.6873,0.6665,0.6366,0.6412,0.004
xgboost,Extreme Gradient Boosting,0.6701,0.933,0.6519,0.6815,0.6607,0.6269,0.6306,0.237
lightgbm,Light Gradient Boosting Machine,0.668,0.935,0.6482,0.6751,0.6564,0.6246,0.6284,0.047
lr,Logistic Regression,0.664,0.9431,0.6467,0.6781,0.6562,0.62,0.6234,0.033
gbc,Gradient Boosting Classifier,0.6617,0.9235,0.6444,0.6838,0.6518,0.6178,0.6224,0.253
svm,SVM - Linear Kernel,0.6615,0.0,0.6472,0.6862,0.6476,0.6181,0.6248,0.007
et,Extra Trees Classifier,0.6384,0.8973,0.6228,0.6479,0.6272,0.5914,0.5957,0.05
dt,Decision Tree Classifier,0.6298,0.8263,0.6152,0.6586,0.6243,0.5823,0.5867,0.005
rf,Random Forest Classifier,0.6405,0.9205,0.6236,0.6433,0.6215,0.5927,0.5988,0.054
ada,Ada Boost Classifier,0.3676,0.7262,0.3129,0.2478,0.271,0.2696,0.2939,0.022
