,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6786,0.932,0.6539,0.692,0.6637,0.6357,0.64,0.035
ridge,Ridge Classifier,0.6553,0.0,0.6274,0.6714,0.6386,0.609,0.6136,0.004
gbc,Gradient Boosting Classifier,0.653,0.9223,0.6264,0.6771,0.6379,0.6071,0.612,0.257
lightgbm,Light Gradient Boosting Machine,0.653,0.9275,0.6282,0.6723,0.6356,0.607,0.6124,0.054
xgboost,Extreme Gradient Boosting,0.653,0.9269,0.6299,0.675,0.6355,0.6073,0.6125,0.245
rf,Random Forest Classifier,0.6467,0.9149,0.6311,0.6758,0.6327,0.5993,0.6052,0.055
et,Extra Trees Classifier,0.6192,0.8917,0.6105,0.6468,0.6043,0.5697,0.5751,0.049
dt,Decision Tree Classifier,0.6126,0.8158,0.5944,0.6222,0.5952,0.563,0.5683,0.005
svm,SVM - Linear Kernel,0.5831,0.0,0.5678,0.6072,0.5647,0.5296,0.5359,0.008
ada,Ada Boost Classifier,0.3441,0.7574,0.3017,0.2828,0.2688,0.2431,0.261,0.022
