,Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
et,Extra Trees Regressor,7.4838,1058.2749,17.9027,0.7191,0.1364,0.0113,0.051
dt,Decision Tree Regressor,7.6322,1064.8066,18.1426,0.6997,0.137,0.0117,0.005
rf,Random Forest Regressor,7.7958,1074.5758,18.5558,0.6951,0.1379,0.0119,0.048
xgboost,Extreme Gradient Boosting,8.7783,1722.7003,24.7005,0.0343,0.1681,0.0138,0.058
lightgbm,Light Gradient Boosting Machine,10.7143,1154.7302,22.7348,0.3755,0.1463,0.0178,0.015
br,Bayesian Ridge,12.0874,1141.1548,22.7598,0.4657,0.1461,0.0206,0.006
ada,AdaBoost Regressor,12.2768,2039.7837,27.954,-0.3674,0.2566,0.021,0.014
lasso,Lasso Regression,13.3679,1154.9751,24.0536,0.3355,0.1487,0.0233,0.005
ridge,Ridge Regression,13.7953,1301.1881,26.6711,0.0787,0.1541,0.0241,0.31
huber,Huber Regressor,17.304,1672.923,33.1234,-0.6596,0.1691,0.0314,0.01
par,Passive Aggressive Regressor,18.2242,1621.7647,32.2405,-0.4764,0.1669,0.0332,0.005
lr,Linear Regression,62.4768,20209.0368,126.6668,-41.4701,0.4604,0.1224,0.766
lar,Least Angle Regression,2545809832.5357,1.9422618070099313e+20,5544921642.9082,-5.779714274305508e+17,8.7611,5174628.4812,0.008
