well,protein,wavelength,counts
F1,Cnoc,398,3387
F1,Cnoc,413,53909
F1,Cnoc,428,384008
F1,Cnoc,443,972330
F1,Cnoc,458,1299235
F1,Cnoc,473,1332363
F1,Cnoc,488,1130539
F1,Cnoc,503,873219
F1,Cnoc,518,625218
F1,Cnoc,533,378432
F1,Cnoc,548,240952
F1,Cnoc,563,159885
F1,Cnoc,578,107092
F1,Cnoc,593,77981
F1,Cnoc,608,45805
F1,Cnoc,623,31146
F1,Cnoc,638,19850
F1,Cnoc,653,16883
F2,Cnoc,398,2900
F2,Cnoc,413,45847
F2,Cnoc,428,314369
F2,Cnoc,443,777144
F2,Cnoc,458,1027961
F2,Cnoc,473,1047354
F2,Cnoc,488,887530
F2,Cnoc,503,686157
F2,Cnoc,518,491410
F2,Cnoc,533,298592
F2,Cnoc,548,189839
F2,Cnoc,563,126776
F2,Cnoc,578,85319
F2,Cnoc,593,62141
F2,Cnoc,608,36434
F2,Cnoc,623,24966
F2,Cnoc,638,16082
F2,Cnoc,653,13432
F3,Cnoc,398,2606
F3,Cnoc,413,40745
F3,Cnoc,428,272889
F3,Cnoc,443,664837
F3,Cnoc,458,874186
F3,Cnoc,473,886111
F3,Cnoc,488,749816
F3,Cnoc,503,578941
F3,Cnoc,518,414575
F3,Cnoc,533,252075
F3,Cnoc,548,161041
F3,Cnoc,563,107584
F3,Cnoc,578,71956
F3,Cnoc,593,53099
F3,Cnoc,608,31111
F3,Cnoc,623,21618
F3,Cnoc,638,13689
F3,Cnoc,653,11484
