well,protein,wavelength,counts
A12,WLUP,398,30
A12,WLUP,413,313
A12,WLUP,428,1572
A12,WLUP,443,3618
A12,WLUP,458,4750
A12,WLUP,473,5192
A12,WLUP,488,4681
A12,WLUP,503,4165
A12,WLUP,518,3204
A12,WLUP,533,2193
A12,WLUP,548,1499
A12,WLUP,563,1183
A12,WLUP,578,933
A12,WLUP,593,735
A12,WLUP,608,526
A12,WLUP,623,353
A12,WLUP,638,264
A12,WLUP,653,251
B12,WLUP,398,32
B12,WLUP,413,289
B12,WLUP,428,1475
B12,WLUP,443,3334
B12,WLUP,458,4481
B12,WLUP,473,4987
B12,WLUP,488,4575
B12,WLUP,503,3732
B12,WLUP,518,2961
B12,WLUP,533,2077
B12,WLUP,548,1493
B12,WLUP,563,1126
B12,WLUP,578,846
B12,WLUP,593,714
B12,WLUP,608,454
B12,WLUP,623,375
B12,WLUP,638,197
B12,WLUP,653,218
C12,WLUP,398,40
C12,WLUP,413,298
C12,WLUP,428,1512
C12,WLUP,443,3352
C12,WLUP,458,4587
C12,WLUP,473,5031
C12,WLUP,488,4495
C12,WLUP,503,3850
C12,WLUP,518,3040
C12,WLUP,533,2111
C12,WLUP,548,1513
C12,WLUP,563,1137
C12,WLUP,578,934
C12,WLUP,593,685
C12,WLUP,608,473
C12,WLUP,623,300
C12,WLUP,638,299
C12,WLUP,653,179
F12,WLUO,398,5
F12,WLUO,413,21
F12,WLUO,428,58
F12,WLUO,443,112
F12,WLUO,458,169
F12,WLUO,473,146
F12,WLUO,488,133
F12,WLUO,503,126
F12,WLUO,518,97
F12,WLUO,533,72
F12,WLUO,548,56
F12,WLUO,563,31
F12,WLUO,578,36
F12,WLUO,593,27
F12,WLUO,608,13
F12,WLUO,623,21
F12,WLUO,638,15
F12,WLUO,653,19
G12,WLUO,398,10
G12,WLUO,413,28
G12,WLUO,428,66
G12,WLUO,443,128
G12,WLUO,458,160
G12,WLUO,473,163
G12,WLUO,488,144
G12,WLUO,503,115
G12,WLUO,518,96
G12,WLUO,533,61
G12,WLUO,548,51
G12,WLUO,563,43
G12,WLUO,578,39
G12,WLUO,593,26
G12,WLUO,608,21
G12,WLUO,623,22
G12,WLUO,638,11
G12,WLUO,653,34
H12,WLUO,398,6
H12,WLUO,413,24
H12,WLUO,428,64
H12,WLUO,443,132
H12,WLUO,458,156
H12,WLUO,473,164
H12,WLUO,488,169
H12,WLUO,503,122
H12,WLUO,518,111
H12,WLUO,533,84
H12,WLUO,548,55
H12,WLUO,563,36
H12,WLUO,578,41
H12,WLUO,593,41
H12,WLUO,608,25
H12,WLUO,623,20
H12,WLUO,638,19
H12,WLUO,653,32
