,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6575,0.9348,0.6379,0.6596,0.6422,0.6132,0.6175,0.061
lr,Logistic Regression,0.6469,0.9413,0.6235,0.6752,0.6376,0.6008,0.6054,0.035
xgboost,Extreme Gradient Boosting,0.6386,0.9317,0.6167,0.6538,0.6272,0.5917,0.596,0.259
rf,Random Forest Classifier,0.6385,0.9151,0.6238,0.6465,0.6234,0.5917,0.5965,0.061
gbc,Gradient Boosting Classifier,0.6341,0.922,0.6142,0.6493,0.6219,0.5872,0.5921,0.331
dt,Decision Tree Classifier,0.6277,0.8226,0.6167,0.6636,0.6218,0.5806,0.5851,0.005
svm,SVM - Linear Kernel,0.6196,0.0,0.6043,0.6589,0.608,0.5719,0.5794,0.009
et,Extra Trees Classifier,0.6174,0.8888,0.6051,0.6328,0.6075,0.5686,0.5727,0.051
ridge,Ridge Classifier,0.613,0.0,0.5937,0.6515,0.6061,0.5627,0.5676,0.004
ada,Ada Boost Classifier,0.3741,0.7302,0.32,0.281,0.2906,0.278,0.3023,0.031
