,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6389,0.9281,0.6143,0.6481,0.6227,0.5912,0.5962,0.056
lr,Logistic Regression,0.6329,0.9265,0.6091,0.6405,0.6173,0.5838,0.5893,0.043
gbc,Gradient Boosting Classifier,0.6308,0.9214,0.6113,0.6323,0.6141,0.5826,0.5873,0.285
xgboost,Extreme Gradient Boosting,0.6269,0.927,0.6032,0.6323,0.6129,0.5775,0.5819,0.292
dt,Decision Tree Classifier,0.6108,0.8202,0.5913,0.6406,0.6024,0.5609,0.5658,0.005
et,Extra Trees Classifier,0.5968,0.8908,0.5795,0.602,0.5815,0.5437,0.548,0.054
svm,SVM - Linear Kernel,0.5969,0.0,0.5807,0.6152,0.5801,0.5445,0.5521,0.009
ridge,Ridge Classifier,0.5929,0.0,0.5707,0.6023,0.5791,0.5385,0.5433,0.004
rf,Random Forest Classifier,0.5909,0.9138,0.5669,0.5899,0.5691,0.5359,0.5415,0.056
ada,Ada Boost Classifier,0.3154,0.7469,0.2843,0.2758,0.2653,0.223,0.2323,0.023
