,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6487,0.9288,0.6269,0.6715,0.6383,0.6032,0.6079,0.052
gbc,Gradient Boosting Classifier,0.6387,0.924,0.6201,0.6645,0.6313,0.593,0.5964,0.302
lightgbm,Light Gradient Boosting Machine,0.6386,0.932,0.6166,0.6623,0.6308,0.5926,0.5964,0.055
xgboost,Extreme Gradient Boosting,0.6326,0.93,0.6099,0.6625,0.6256,0.5856,0.5896,0.343
dt,Decision Tree Classifier,0.6207,0.822,0.5983,0.6451,0.6147,0.5727,0.5764,0.005
et,Extra Trees Classifier,0.6207,0.8917,0.6041,0.6444,0.6101,0.5728,0.5776,0.053
ridge,Ridge Classifier,0.6168,0.0,0.5948,0.6388,0.6064,0.5673,0.5711,0.004
svm,SVM - Linear Kernel,0.6227,0.0,0.6009,0.6368,0.6042,0.5751,0.5811,0.008
rf,Random Forest Classifier,0.6187,0.9172,0.6023,0.63,0.6029,0.5695,0.5743,0.059
ada,Ada Boost Classifier,0.3014,0.7008,0.2418,0.2209,0.2176,0.1898,0.2149,0.023
