,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6766,0.9374,0.6578,0.6864,0.6607,0.6335,0.639,0.055
xgboost,Extreme Gradient Boosting,0.6744,0.9292,0.6537,0.6694,0.6552,0.6311,0.6354,0.266
gbc,Gradient Boosting Classifier,0.6681,0.9286,0.6454,0.6786,0.6522,0.6238,0.6287,0.275
lr,Logistic Regression,0.6682,0.9349,0.6409,0.6749,0.6474,0.623,0.6281,0.038
rf,Random Forest Classifier,0.6532,0.9196,0.6328,0.658,0.6349,0.6065,0.6123,0.06
dt,Decision Tree Classifier,0.647,0.8432,0.6341,0.6499,0.6316,0.6017,0.6062,0.005
ridge,Ridge Classifier,0.6406,0.0,0.6164,0.6543,0.6219,0.5926,0.5974,0.004
svm,SVM - Linear Kernel,0.6257,0.0,0.6028,0.6546,0.6049,0.5753,0.5825,0.008
et,Extra Trees Classifier,0.6235,0.9023,0.6112,0.6236,0.6043,0.5738,0.5794,0.052
ada,Ada Boost Classifier,0.3742,0.7005,0.3245,0.2653,0.2806,0.272,0.2987,0.023
