,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6637,0.9355,0.6504,0.6799,0.6529,0.6193,0.6233,0.039
ridge,Ridge Classifier,0.6553,0.0,0.6421,0.6799,0.6473,0.6095,0.6139,0.004
xgboost,Extreme Gradient Boosting,0.6532,0.9258,0.6365,0.6573,0.6382,0.6073,0.6113,0.248
gbc,Gradient Boosting Classifier,0.649,0.9256,0.6261,0.6616,0.6348,0.6026,0.607,0.255
lightgbm,Light Gradient Boosting Machine,0.6426,0.9312,0.6227,0.661,0.6304,0.5956,0.6,0.05
svm,SVM - Linear Kernel,0.6362,0.0,0.6224,0.6726,0.6172,0.5888,0.5964,0.008
dt,Decision Tree Classifier,0.6025,0.8134,0.596,0.6272,0.5939,0.5518,0.5562,0.005
et,Extra Trees Classifier,0.6066,0.8807,0.5975,0.6178,0.5907,0.5548,0.5595,0.05
rf,Random Forest Classifier,0.6087,0.9122,0.5892,0.6124,0.5905,0.556,0.5611,0.054
ada,Ada Boost Classifier,0.3212,0.7598,0.3184,0.2718,0.257,0.2336,0.2475,0.022
