,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6705,0.9322,0.6367,0.6851,0.658,0.6249,0.6292,0.061
gbc,Gradient Boosting Classifier,0.6545,0.9251,0.6197,0.6713,0.6419,0.6071,0.6114,0.295
xgboost,Extreme Gradient Boosting,0.6545,0.9291,0.619,0.6706,0.6408,0.607,0.6115,0.289
lr,Logistic Regression,0.6525,0.929,0.623,0.6665,0.6378,0.6039,0.6086,0.044
dt,Decision Tree Classifier,0.6387,0.8351,0.6118,0.6457,0.6274,0.5906,0.5944,0.005
et,Extra Trees Classifier,0.6385,0.8962,0.6126,0.6457,0.6247,0.5894,0.5938,0.055
rf,Random Forest Classifier,0.6425,0.9252,0.6127,0.646,0.6235,0.5922,0.5974,0.063
ridge,Ridge Classifier,0.6365,0.0,0.6019,0.6434,0.6133,0.5855,0.5914,0.004
svm,SVM - Linear Kernel,0.6225,0.0,0.595,0.6368,0.6017,0.5698,0.5776,0.008
ada,Ada Boost Classifier,0.3792,0.7362,0.3484,0.339,0.3327,0.2888,0.3,0.024
