,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.651,0.9311,0.6319,0.6635,0.6363,0.6057,0.611,0.268
lightgbm,Light Gradient Boosting Machine,0.6447,0.9284,0.6269,0.664,0.6324,0.5991,0.6037,0.052
lr,Logistic Regression,0.6448,0.9277,0.6208,0.6636,0.6262,0.5982,0.604,0.039
dt,Decision Tree Classifier,0.63,0.8231,0.6179,0.6563,0.6215,0.5837,0.5884,0.005
gbc,Gradient Boosting Classifier,0.6256,0.9247,0.6053,0.6379,0.6142,0.5777,0.5822,0.274
et,Extra Trees Classifier,0.6172,0.8837,0.6054,0.6295,0.6019,0.568,0.5728,0.054
ridge,Ridge Classifier,0.6172,0.0,0.5965,0.6285,0.6012,0.5671,0.5716,0.004
rf,Random Forest Classifier,0.6152,0.9145,0.5991,0.6256,0.5987,0.5651,0.5707,0.062
svm,SVM - Linear Kernel,0.5858,0.0,0.5786,0.6172,0.568,0.5342,0.5418,0.008
ada,Ada Boost Classifier,0.3382,0.7111,0.2764,0.2314,0.2521,0.237,0.2556,0.021
