,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6467,0.9365,0.6254,0.6754,0.6405,0.6013,0.6049,0.057
xgboost,Extreme Gradient Boosting,0.6387,0.9324,0.6233,0.6717,0.6333,0.5932,0.5978,0.296
gbc,Gradient Boosting Classifier,0.6408,0.9283,0.6205,0.6626,0.632,0.5952,0.5997,0.317
lr,Logistic Regression,0.6328,0.9335,0.6132,0.6586,0.6257,0.5858,0.5898,0.052
et,Extra Trees Classifier,0.6247,0.8887,0.6123,0.6535,0.6178,0.577,0.5809,0.061
ridge,Ridge Classifier,0.6227,0.0,0.6026,0.6558,0.617,0.5748,0.579,0.005
dt,Decision Tree Classifier,0.6088,0.8072,0.5977,0.6388,0.6053,0.5608,0.5646,0.005
rf,Random Forest Classifier,0.6108,0.921,0.5989,0.6402,0.5992,0.5601,0.5656,0.056
svm,SVM - Linear Kernel,0.5987,0.0,0.5766,0.6324,0.587,0.5489,0.5546,0.009
ada,Ada Boost Classifier,0.3095,0.6726,0.2481,0.2215,0.2187,0.1917,0.2257,0.026
