,feature,Extreme Gradient Boosting,Light Gradient Boosting Machine,Logistic Regression,mean_imp
0,1,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0
2,3,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,0.0
4,5,0.0,0.0,0.0,0.0
5,6,0.0,0.0,0.0,0.0
6,7,0.0,0.0,0.0,0.0
7,8,0.0,0.0,0.0,0.0
8,9,0.0,0.0,0.0,0.0
9,10,0.0,0.0,0.0,0.0
10,11,0.0,0.0,0.0,0.0
11,12,0.0,0.0,0.0,0.0
12,13,0.0,0.0,0.0,0.0
13,14,0.0,0.0,0.0,0.0
14,15,0.0,0.0,0.0,0.0
15,16,0.0,0.0,0.0,0.0
16,17,0.0,0.0,0.0,0.0
17,18,0.0,0.0,0.0,0.0
18,19,0.0,0.0,0.0,0.0
19,20,0.0,0.0,0.0,0.0
20,21,0.0,0.0,0.0,0.0
21,22,0.0,0.0,0.0,0.0
22,23,0.0,0.0,0.0,0.0
23,24,0.0,0.0,0.0,0.0
24,25,0.0,0.0,0.0,0.0
25,26,0.0,0.0,0.0,0.0
26,27,0.0,0.0,0.0,0.0
27,28,0.0,0.0,0.0,0.0
28,29,0.0,0.0,0.0,0.0
29,30,0.0,0.0,0.0,0.0
30,31,0.0,0.0,0.0,0.0
31,32,0.0,0.0,0.0,0.0
32,33,0.0,0.0,0.0,0.0
33,34,0.0,0.0,0.0,0.0
34,35,0.0,0.0,0.0,0.0
35,36,0.0,0.0,0.0,0.0
36,37,0.0,0.0,0.0,0.0
37,38,0.0,0.0,0.0,0.0
38,39,0.0,0.0,0.0,0.0
39,40,0.0,0.0,0.0,0.0
40,41,0.0,0.0,0.0,0.0
41,42,0.0,0.0,0.0,0.0
42,43,0.0,0.0,0.0,0.0
43,44,0.0,0.0,0.0,0.0
44,45,0.0,0.0,0.0,0.0
45,46,0.0,0.0,0.0,0.0
46,47,0.0,0.0,0.0,0.0
47,48,0.0,0.0,0.0,0.0
48,49,0.0,0.0,0.0,0.0
49,50,0.0,0.0,0.0,0.0
50,51,0.0,0.0,0.0,0.0
51,52,0.0,0.0,0.0,0.0
52,53,0.0,0.0,0.0,0.0
53,54,0.0,0.0,0.0,0.0
54,55,0.0,0.0,0.0,0.0
55,56,0.0,0.0,0.0,0.0
56,57,0.0,0.0,0.0,0.0
57,58,0.0,0.0,0.0,0.0
58,59,0.0,0.0,0.0,0.0
59,60,0.0,0.0,0.0,0.0
60,61,0.0,0.0,0.0,0.0
61,62,0.0,0.0,0.0,0.0
62,63,0.0,0.0,0.0,0.0
63,64,0.0,0.0,0.0,0.0
64,65,0.0,0.0,0.0,0.0
65,66,0.4993806,0.3884992987377279,0.7697608795225575,0.5525469222639265
66,67,0.1255019,0.015427769985974754,0.10262303248322129,0.08118423446017574
67,68,0.484047,0.2861150070126227,0.6567666781275541,0.47564289359332595
68,69,0.24698289,0.2131837307152875,0.3636492443049159,0.27460528746915974
69,70,0.5285711,0.40813464235624125,0.6723512351665066,0.5363523354559876
70,71,0.3583972,0.30434782608695654,0.42912458713210455,0.3639565330071736
71,72,0.0,0.0,0.0,0.0
72,73,0.0,0.0,0.0,0.0
73,74,0.0,0.0,0.0,0.0
74,75,0.1255019,0.015427769985974754,0.10262303248322129,0.08118423446017574
75,76,0.33099505,0.19074333800841514,0.4362695962674059,0.3193359957762411
76,77,0.49999717,0.15287517531556802,0.4896937196021219,0.3808553545656877
77,78,0.4979867,0.24403927068723702,0.5688953092713585,0.4369737613565649
78,79,0.010563213,0.021037868162692847,0.10961833791822254,0.047073139819702126
79,80,0.0,0.0,0.0,0.0
80,81,0.2510038,0.030855539971949508,0.20524606496644257,0.16236846892035148
81,82,0.22070809,0.1935483870967742,0.3716554051067562,0.26197062643006935
82,83,0.0,0.0,0.0,0.0
83,84,0.0,0.0,0.0,0.0
84,85,0.0,0.0,0.0,0.0
85,86,0.0,0.0,0.0,0.0
86,87,0.0,0.0,0.0,0.0
87,88,0.0,0.0,0.0,0.0
88,89,0.0,0.0,0.0,0.0
89,90,0.0,0.0,0.0,0.0
90,91,0.0,0.0,0.0,0.0
91,92,0.0,0.0,0.0,0.0
92,93,0.0,0.0,0.0,0.0
93,94,0.0,0.0,0.0,0.0
94,95,0.3724848,0.22861150070126227,0.4662722767881372,0.35578952689638915
95,96,0.24899335,0.12201963534361851,0.2844476546356792,0.21848688067828245
96,97,0.3330055,0.09957924263674614,0.35706800659816923,0.26321757905125637
97,98,0.29412776,0.42496493688639553,0.6214427153332664,0.4468451381791065
98,99,0.30947903,0.3632538569424965,0.4561933846496526,0.37630875652622525
99,100,0.3330055,0.09957924263674614,0.35706800659816923,0.26321757905125637
100,101,0.27914077,0.20757363253856942,0.4705216297010617,0.3190786775583215
101,102,0.0,0.0,0.0,0.0
102,103,0.0,0.0,0.0,0.0
103,104,0.0,0.0,0.0,0.0
104,105,0.0,0.0,0.0,0.0
105,106,0.0,0.0,0.0,0.0
106,107,0.0,0.0,0.0,0.0
107,108,0.0,0.0,0.0,0.0
108,109,0.0,0.0,0.0,0.0
109,110,0.0,0.0,0.0,0.0
110,111,0.16588594,0.27489481065918653,0.35386207419541166,0.2648809416829094
111,112,0.5725328,0.34221598877980364,0.6710975355216092,0.5286154324397654
112,113,0.33710763,0.3548387096774194,0.7747435437276162,0.48889662732964795
113,114,0.37449524,0.13744740532959326,0.3870706871189006,0.2996711101714045
114,115,0.21190867,0.12061711079943899,0.3477776487563896,0.22676780927849216
115,116,0.15251666,0.10098176718092566,0.3674491387857956,0.20698252301373823
116,117,0.24899335,0.12201963534361851,0.2844476546356792,0.21848688067828245
117,118,0.2510038,0.030855539971949508,0.20524606496644257,0.16236846892035148
118,119,0.26102427,0.1388499298737728,0.37384158377104937,0.25790526004207387
119,120,0.016637042,0.37166900420757365,0.35376619549340843,0.24735741395526153
120,121,0.24698289,0.2131837307152875,0.3636492443049159,0.27460528746915974
121,122,0.37449524,0.13744740532959326,0.3870706871189006,0.2996711101714045
122,123,0.1131495,1.0,1.0,0.7043831671277682
123,124,0.10911846,0.391304347826087,0.514837983165781,0.33842026420025156
124,125,0.1255019,0.015427769985974754,0.10262303248322129,0.08118423446017574
125,126,0.4997815,0.3436185133239832,0.6390544405329707,0.49415148107640244
126,127,1.0,0.03927068723702665,0.26847659030253773,0.43591575917985476
127,128,0.38416696,0.33660589060308554,0.6306600719977637,0.45047763951624176
128,129,0.0,0.0,0.0,0.0
129,130,0.2939388,0.20897615708274894,0.44545900145062123,0.31612464810825575
130,131,0.26238167,0.25806451612903225,0.4749913248961853,0.33181250462813644
131,132,0.0,0.0,0.0,0.0
132,133,0.0,0.0,0.0,0.0
133,134,0.12349144,0.10659186535764376,0.18182462215245795,0.13730264373457987
134,135,0.1255019,0.015427769985974754,0.10262303248322129,0.08118423446017574
135,136,0.41551957,0.391304347826087,0.7181133616406505,0.5083124249368648
136,137,0.3765057,0.04628330995792426,0.3078690974496639,0.24355270338052723
137,138,0.1255019,0.015427769985974754,0.10262303248322129,0.08118423446017574
138,139,0.31386137,0.43478260869565216,0.5362798644743711,0.4283079477522311
139,140,0.1893945,0.6016830294530154,0.6117805012154964,0.4676193448334584
140,141,0.6234886,0.2594670406732118,0.6715183417545798,0.5181579958167407
141,142,0.0,0.0,0.0,0.0
142,143,0.0,0.0,0.0,0.0
143,144,0.2510038,0.030855539971949508,0.20524606496644257,0.16236846892035148
144,145,0.0,0.0,0.0,0.0
145,146,0.1255019,0.015427769985974754,0.10262303248322129,0.08118423446017574
146,147,0.24899335,0.12201963534361851,0.2844476546356792,0.21848688067828245
147,148,0.1255019,0.015427769985974754,0.10262303248322129,0.08118423446017574
148,149,0.1255019,0.015427769985974754,0.10262303248322129,0.08118423446017574
