,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6547,0.9329,0.6347,0.6764,0.6454,0.6107,0.6145,0.298
lightgbm,Light Gradient Boosting Machine,0.6527,0.9378,0.6273,0.6638,0.636,0.6084,0.6128,0.058
lr,Logistic Regression,0.6507,0.936,0.6242,0.6543,0.6331,0.6053,0.6091,0.047
dt,Decision Tree Classifier,0.6328,0.835,0.6141,0.6409,0.6206,0.5867,0.5907,0.005
ridge,Ridge Classifier,0.6347,0.0,0.6067,0.6293,0.6159,0.5877,0.5914,0.004
gbc,Gradient Boosting Classifier,0.6286,0.926,0.5992,0.6389,0.6142,0.5814,0.585,0.293
et,Extra Trees Classifier,0.6126,0.8944,0.5893,0.6104,0.5946,0.5627,0.5668,0.056
rf,Random Forest Classifier,0.6107,0.9226,0.5842,0.6095,0.5881,0.5601,0.5654,0.062
svm,SVM - Linear Kernel,0.6028,0.0,0.5827,0.6193,0.5853,0.553,0.5591,0.008
ada,Ada Boost Classifier,0.3015,0.6758,0.2338,0.1776,0.1939,0.175,0.2161,0.023
