,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
ridge,Ridge Classifier,0.6658,0.0,0.6482,0.6693,0.6535,0.6215,0.6253,0.004
lr,Logistic Regression,0.6658,0.9386,0.6453,0.6729,0.6529,0.621,0.6254,0.038
xgboost,Extreme Gradient Boosting,0.6466,0.9266,0.6305,0.6532,0.6323,0.6001,0.604,0.251
lightgbm,Light Gradient Boosting Machine,0.6467,0.935,0.6327,0.6535,0.6299,0.6,0.604,0.057
rf,Random Forest Classifier,0.634,0.9124,0.6158,0.6348,0.616,0.5847,0.5895,0.057
et,Extra Trees Classifier,0.6277,0.8953,0.6129,0.6441,0.6158,0.579,0.5828,0.051
gbc,Gradient Boosting Classifier,0.6298,0.9233,0.6044,0.6248,0.6102,0.5802,0.5848,0.279
svm,SVM - Linear Kernel,0.617,0.0,0.6027,0.6293,0.5964,0.5672,0.5753,0.008
dt,Decision Tree Classifier,0.5959,0.8173,0.5846,0.6052,0.5859,0.5444,0.5479,0.005
ada,Ada Boost Classifier,0.2875,0.7147,0.2413,0.1982,0.2136,0.1815,0.1983,0.022
