,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6512,0.9284,0.6363,0.6866,0.6455,0.6071,0.6118,0.241
gbc,Gradient Boosting Classifier,0.6449,0.9256,0.6268,0.6727,0.6379,0.6001,0.6047,0.254
lightgbm,Light Gradient Boosting Machine,0.6491,0.9323,0.6311,0.6775,0.6377,0.6043,0.6096,0.053
et,Extra Trees Classifier,0.6385,0.8902,0.6292,0.675,0.6353,0.5928,0.5975,0.05
dt,Decision Tree Classifier,0.6387,0.8257,0.6233,0.6731,0.6341,0.5935,0.5982,0.005
rf,Random Forest Classifier,0.6387,0.919,0.6243,0.6626,0.6278,0.5918,0.597,0.055
lr,Logistic Regression,0.6321,0.9333,0.6151,0.6616,0.6262,0.5849,0.5898,0.036
ridge,Ridge Classifier,0.6172,0.0,0.6029,0.651,0.6147,0.5684,0.5732,0.004
svm,SVM - Linear Kernel,0.5981,0.0,0.5932,0.6352,0.5826,0.5491,0.5575,0.008
ada,Ada Boost Classifier,0.3045,0.7121,0.2395,0.1703,0.1956,0.1937,0.218,0.022
