,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.6387,0.9079,0.621,0.6506,0.6261,0.5914,0.5953,0.347
lr,Logistic Regression,0.6308,0.9287,0.6147,0.6435,0.618,0.5829,0.5878,0.059
lightgbm,Light Gradient Boosting Machine,0.6267,0.9247,0.6094,0.6378,0.6158,0.5784,0.5822,0.056
xgboost,Extreme Gradient Boosting,0.6267,0.9178,0.6105,0.6384,0.6125,0.5781,0.5826,0.302
dt,Decision Tree Classifier,0.6127,0.8152,0.5909,0.6336,0.6068,0.5631,0.5665,0.005
et,Extra Trees Classifier,0.6167,0.8844,0.6025,0.6206,0.6012,0.5671,0.5713,0.054
ridge,Ridge Classifier,0.6049,0.0,0.5855,0.6205,0.5932,0.5534,0.5577,0.005
svm,SVM - Linear Kernel,0.6048,0.0,0.5921,0.6443,0.5904,0.5537,0.5612,0.008
rf,Random Forest Classifier,0.6088,0.9134,0.586,0.6099,0.5889,0.5568,0.562,0.057
ada,Ada Boost Classifier,0.2694,0.6744,0.2019,0.1465,0.1641,0.1399,0.1749,0.024
