,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6636,0.9343,0.6463,0.6696,0.6478,0.6195,0.6241,0.296
gbc,Gradient Boosting Classifier,0.6553,0.9224,0.6346,0.6744,0.6439,0.6103,0.615,0.316
lightgbm,Light Gradient Boosting Machine,0.6553,0.9387,0.6333,0.6628,0.6371,0.6098,0.6153,0.062
lr,Logistic Regression,0.6447,0.9316,0.6271,0.6557,0.6321,0.5977,0.6017,0.047
ridge,Ridge Classifier,0.6341,0.0,0.6163,0.644,0.6231,0.5862,0.5904,0.004
dt,Decision Tree Classifier,0.632,0.8368,0.6174,0.6588,0.621,0.5848,0.5904,0.005
svm,SVM - Linear Kernel,0.6341,0.0,0.6273,0.66,0.6154,0.5877,0.5963,0.009
et,Extra Trees Classifier,0.6299,0.8901,0.6133,0.646,0.6127,0.5816,0.5871,0.054
rf,Random Forest Classifier,0.6277,0.9173,0.6088,0.6296,0.6072,0.5781,0.5834,0.061
ada,Ada Boost Classifier,0.3148,0.6796,0.254,0.1889,0.2039,0.2049,0.232,0.027
